ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,75,108,1894,709,1885,697,0.3392156958580017,0.003921568859368563,0.0,0.38235294818878174,0.0,0.029411764815449715
1,76,104,1577,713,1569,700,0.32549020648002625,0.0,0.0,0.4000000059604645,0.0,0.0
1,77,25,117,723,112,718,0.4529411643743515,0.27843138575553894,0.0,0.35294121503829956,0.0,0.0784313753247261
1,78,48,1399,727,1391,721,0.4117647111415863,0.003921568859368563,0.0,0.4745097756385803,0.0,0.04313725605607033
1,79,30,1462,777,1457,771,0.27843138575553894,0.07254902273416519,0.0,0.4901960790157318,0.0,0.26862746477127075
1,80,42,287,791,281,784,0.33529411256313324,0.03529411926865578,0.0470588244497776,0.42352940142154694,0.5117647349834442,0.03921568766236305
1,81,169,1044,797,1031,784,0.3333333432674408,0.0,0.0,0.47843137383461,0.0,0.0
1,82,42,452,817,445,811,0.4725489914417267,0.027450978755950928,0.04117647185921669,0.42352941632270813,0.05294117517769337,0.0
1,83,126,345,825,336,811,0.4627450704574585,0.0,0.0,0.4627450704574585,0.0,0.0
1,84,42,1991,833,1985,826,0.28431373834609985,0.0313725508749485,0.0,0.4176470637321472,0.0,0.3117646872997284
1,85,35,1957,832,1950,827,0.2862745225429535,0.027450978755950928,0.0,0.3647059202194214,0.0,0.07058823853731155
1,86,72,473,836,465,827,0.35294121503829956,0.054901957511901855,0.0,0.45098036527633667,0.0,0.003921568859368563
1,87,121,1898,850,1887,839,0.30392156541347504,0.03529411926865578,0.0,0.4215686321258545,0.0,0.0
1,88,49,289,850,282,843,0.4117647111415863,0.11764705181121826,0.03921568766236305,0.427450954914093,0.04313725605607033,0.0
1,89,56,286,856,279,848,0.23529410362243652,0.003921568859368563,0.0,0.4627450704574585,0.0,0.11372549086809158
1,90,143,1865,858,1852,847,0.35294121503829956,0.003921568859368563,0.0,0.45490193367004395,0.0,0.0
1,91,42,1970,856,1963,850,0.27843138575553894,0.0019607844296842813,0.0,0.33137257397174835,0.0,0.003921568859368563
1,92,77,1975,864,1964,857,0.27843138575553894,0.05882352590560913,0.0,0.40784311294555664,0.0,0.007843137718737125
1,93,117,571,868,558,859,0.42352941632270813,0.0,0.0,0.386274516582489,0.0,0.0
1,94,255,558,868,541,853,0.4313725531101227,0.0,0.0,0.4431372582912445,0.29019609093666077,0.0
